93,35,5,6.3,1.5,1.6,1.8,5
89,49,9,4.5,1.2,1.9,1.4,4
89,23,10,4.4,2,2.8,1.1,3
89,18,3,3.2,0.8,1,0.4,4
87,26,10,3.4,1.6,1,0.4,4
89,24,2,2.8,0.9,1,1.5,3
88,14,8,3,2.1,2,1.6,3
89,21,10,2.8,0.9,0.8,0.9,5
88,25,3,2.6,0.7,0.5,0.6,3
86,38,9,3.8,1.6,0.6,1,3
89,11,4,1.6,0.9,0.6,0.6,4
86,10,11,2.6,1.4,1.4,0.4,3
82,23,5,2.5,0.9,0.7,0.3,3
87,9,7,2.5,1.7,0.7,0.8,3
85,32,6,2.8,1.5,0.6,0.6,3
85,17,2,1.8,0.6,0.3,0.5,3
84,15,2,3.7,1.9,2,1.4,3
83,32,10,3.6,1.6,1.7,0.9,3
85,14,3,2.3,1.5,1.4,1.8,2
83,18,4,2.5,1.7,1.3,0.7,2
84,20,5,3.1,2.1,2.3,2.3,3
80,21,9,3.1,1.3,1.6,0.9,3
83,21,6,2.5,0.9,1.6,1.3,3
81,7,1,2.2,1,1.4,1.6,1
73,23,3,2.3,0.6,0.8,0.5,2
85,10,5,3.7,1.4,0.7,0.9,5
84,19,8,3.5,1.5,1,1.4,3
86,12,4,1.7,0.8,0.8,1.5,3
81,18,5,2.5,1.4,1.7,1.4,1
82,19,7,3.2,1.4,0.8,1.6,2
82,20,10,3,0.9,1.3,0.9,2
83,15,3,2,0.7,0.6,1.7,3
83,12,2,2.3,1.5,1.2,1,2
76,3,3,1.1,1.7,2.5,1.9,4
83,9,3,2,0.7,0.2,0.8,2
82,10,8,2.9,1.3,0.8,0.7,2
83,14,0,2.6,0.8,0.3,1.1,3
83,7,1,1.8,0.8,0.8,1.2,2
80,18,2,2.1,0.8,0.9,0.9,1
80,10,3,2.6,1.1,1.7,1.6,1
82,6,1,1.3,0.7,1.2,1.2,2
81,18,5,2.7,1.2,0.6,1.3,1
79,13,3,2.5,0.9,1.7,2,1
80,9,2,2.4,0.6,0.7,1.4,1
83,11,3,3.6,1.3,0.5,1.1,2
80,15,1,2.3,0.6,0.3,1.7,2
83,5,5,1.5,0.7,0.4,0.9,4
82,9,2,1.6,0.7,0.2,1.1,2
82,11,1,1.6,0.5,0.2,0.7,2
76,22,2,2.4,0.9,1.3,0.7,1
81,10,11,2.9,1.4,1.7,1.3,2
82,16,3,2.9,1.2,1.3,2.9,3
83,2,1,0.8,0.3,0.3,0.1,1
80,10,3,1.2,0.5,0.2,1.8,1
