93,35,5,5
89,49,9,4
89,23,10,3
89,18,3,4
87,26,10,4
89,24,2,3
88,14,8,3
89,21,10,5
88,25,3,3
86,38,9,3
89,11,4,4
86,10,11,3
82,23,5,3
87,9,7,3
85,32,6,3
85,17,2,3
84,15,2,3
83,32,10,3
85,14,3,2
83,18,4,2
84,20,5,3
80,21,9,3
83,21,6,3
81,7,1,1
73,23,3,2
85,10,5,5
84,19,8,3
86,12,4,3
81,18,5,1
82,19,7,2
82,20,10,2
83,15,3,3
83,12,2,2
76,3,3,4
83,9,3,2
82,10,8,2
83,14,0,3
83,7,1,2
80,18,2,1
80,10,3,1
82,6,1,2
81,18,5,1
79,13,3,1
80,9,2,1
83,11,3,2
80,15,1,2
83,5,5,4
82,9,2,2
82,11,1,2
76,22,2,1
81,10,11,2
82,16,3,3
83,2,1,1
80,10,3,1
81,8,3,3
79,13,3,1
82,8,0,3
75,21,7,1
78,9,3,2
80,19,1,2
77,11,5,2
80,7,1,2
79,11,0,2
80,11,3,1
79,10,3,2
77,13,1,1
80,14,4,1
83,3,2,1
76,11,3,2
79,14,4,2
79,8,5,1
74,15,4,1
74,9,1,1
79,13,7,2
80,6,3,1
79,4,1,3
78,9,2,2
82,8,2,3
78,10,3,2
77,14,1,1
80,8,1,1
77,11,0,2
79,2,1,2
81,5,7,2
76,13,2,1
74,13,6,1
76,8,5,2
80,8,1,1
79,8,3,2
76,18,4,1
76,10,2,1
79,10,6,2
80,10,3,1
78,2,0,3
77,17,1,1
79,5,1,3
78,6,0,1
79,2,1,3
79,5,1,1
80,1,4,2
80,1,5,2
75,11,2,2
80,6,1,2
79,2,1,3
77,11,1,2
75,10,3,1
78,4,1,2
79,9,1,2
78,26,3,1
76,7,3,1
74,9,7,3
71,4,3,1
77,8,2,1
74,3,0,1
76,7,4,3
76,8,1,2
74,11,2,1
78,11,2,2
78,3,4,2
78,3,1,2
75,6,2,2
79,3,2,1
78,3,1,2
78,3,3,2
77,4,1,1
73,12,1,1
75,13,2,1
78,6,5,1
80,6,3,1
77,12,1,1
80,4,2,2
77,12,3,2
79,4,0,1
75,8,4,1
75,10,3,1
77,6,2,1
77,8,2,1
78,3,1,1
76,7,1,2
76,7,3,2
72,4,1,3
75,8,2,2
79,4,1,2
76,8,2,1
77,2,0,2
76,11,1,2
74,6,4,2
74,12,3,2
77,1,0,1
73,9,1,1
74,6,0,1
71,2,5,1
77,6,2,1
78,2,2,1
77,10,1,2
75,6,3,1
77,6,1,1
72,14,3,1
65,2,0,1
74,2,2,2
72,2,2,1
75,0,4,2
75,0,1,1
77,1,0,2
78,1,1,2
76,4,0,2
76,3,1,2
76,4,3,1
74,5,0,2
75,2,4,2
76,4,2,1
74,1,1,1
72,9,1,1
77,6,1,1
75,4,3,1
77,6,2,1
71,6,4,1
76,3,0,2
73,3,0,1
75,4,1,1
74,4,2,1
75,4,6,1
72,1,2,1
74,2,1,1
76,2,2,1
75,2,0,1
75,6,1,1
74,3,2,1
75,1,0,3
73,8,0,1
75,4,5,2
73,2,1,1
74,3,1,1
74,4,0,1
73,6,2,2
78,1,1,1
75,1,2,1
76,0,0,1
70,2,5,1
74,3,0,1
91,48,9,5
92,35,5,5
90,37,12,4
88,26,17,4
89,31,9,4
87,21,3,5
85,29,11,4
84,43,9,4
89,6,1,4
87,25,8,4
88,5,3,3
83,31,10,2
86,17,9,3
84,16,5,4
87,13,4,3
87,15,7,4
87,9,7,3
85,22,13,3
84,18,7,3
83,15,3,5
85,13,10,3
84,14,13,2
84,20,7,2
84,8,10,3
85,14,11,3
79,29,5,3
83,14,4,3
80,14,11,3
81,16,7,2
82,18,10,3
85,7,3,3
84,4,0,3
82,9,10,2
83,18,10,2
82,23,5,3
81,20,8,2
83,11,4,2
81,12,6,2
83,16,2,3
83,11,2,2
79,25,9,2
81,7,3,3
79,17,2,2
78,24,0,2
78,18,5,2
81,11,5,2
79,15,9,2
80,12,4,1
81,12,5,2
81,9,1,3
80,14,6,3
84,6,5,3
82,11,5,1
81,6,6,2
79,13,3,2
79,16,0,2
79,9,12,3
80,5,1,2
80,7,5,4
77,12,4,2
76,16,8,2
79,11,-,1
78,24,8,2
79,10,3,2
80,7,1,1
81,2,6,4
79,13,0,3
80,6,0,2
78,10,5,2
78,12,3,1
78,12,5,2
79,4,4,2
80,11,4,2
79,5,0,1
79,6,2,2
80,6,1,1
78,12,1,3
74,16,1,2
76,8,4,3
80,13,1,2
80,9,2,3
78,9,0,2
76,11,0,2
79,11,5,1
77,12,2,1
71,17,7,2
81,1,0,2
77,13,2,2
76,16,4,2
76,14,5,2
74,15,5,1
78,7,2,2
76,14,5,1
75,7,3,1
70,16,7,2
77,13,4,2
70,22,4,2
76,11,0,3
78,10,3,1
76,11,3,1
79,4,1,3
77,10,2,3
77,4,2,2
76,5,3,2
80,5,1,2
77,8,2,3
78,6,5,2
77,8,2,1
76,12,3,1
74,12,1,2
74,9,7,2
75,5,5,1
78,6,2,2
79,3,1,1
76,9,7,2
67,16,5,2
75,6,2,2
75,7,1,1
73,14,1,1
75,7,0,2
76,7,1,2
77,6,0,2
78,1,0,2
79,10,2,2
73,12,3,2
77,0,1,2
76,4,3,2
76,7,1,2
77,9,3,1
77,3,1,3
78,7,1,2
74,9,5,1
76,17,4,2
78,1,0,1
76,8,0,2
72,10,1,2
77,0,0,1
77,2,0,3
77,3,0,1
76,6,1,2
77,1,5,2
77,1,3,2
75,3,2,2
74,5,6,2
73,6,2,2
75,4,3,2
71,11,1,2
72,8,3,2
78,5,4,2
76,5,0,1
79,5,3,2
77,1,1,1
76,6,2,2
76,1,2,1
77,1,0,1
75,4,2,1
76,1,0,1
78,9,3,2
77,0,1,1
76,8,1,1
75,7,0,1
74,5,0,1
72,8,4,3
76,1,2,2
76,0,2,2
75,1,0,2
71,11,1,2
77,1,1,2
73,4,2,1
70,3,1,1
76,3,0,1
75,1,0,1
71,20,3,1
74,3,1,1
74,8,1,1
69,7,2,1
75,4,2,1
70,7,5,2
75,4,1,2
72,4,3,1
72,8,3,1
67,18,3,1
72,2,1,1
69,21,5,1
74,2,0,1
64,9,4,1
70,5,6,1
76,1,3,1
71,7,0,1
68,5,1,2
74,0,4,1
63,11,2,1
64,6,0,2
